batch	datetime_utc	load1m	reps	agg	binary_md5	commit	pr_issue	network	nodes	objective	flags	engine	variant	knee_R	trials_N	seed	operator	operator_cfg	codelength	wall_s	cpu_s	top	levels	derived	notes
perf-refresh-891	2026-07-27T17:16:00Z	33	1	single	5d6ef7945e72470d4ae6651da85d6543	9aa7fea9	PR#891	ninetriangles	27	base		OO	OO		10	123	none		3.38583082	0.04	0.00	3	3	0	full 13x5 same-session refresh at the #891 merge tip
perf-refresh-891	2026-07-27T17:16:00Z	33	1	single	5d6ef7945e72470d4ae6651da85d6543	9aa7fea9	PR#891	jazz	198	base		OO	OO		10	123	none		6.861229775	0.06	0.02	6	2	0	full 13x5 same-session refresh at the #891 merge tip
perf-refresh-891	2026-07-27T17:16:00Z	33	1	single	5d6ef7945e72470d4ae6651da85d6543	9aa7fea9	PR#891	netsci	552	base		OO	OO		10	123	none		4.043215101	0.17	0.12	2	5	0	full 13x5 same-session refresh at the #891 merge tip
perf-refresh-891	2026-07-27T17:16:00Z	33	1	single	5d6ef7945e72470d4ae6651da85d6543	9aa7fea9	PR#891	powergrid	4941	base		OO	OO		10	123	none		4.756483889	1.96	1.89	5	6	0	full 13x5 same-session refresh at the #891 merge tip
perf-refresh-891	2026-07-27T17:16:00Z	33	1	single	5d6ef7945e72470d4ae6651da85d6543	9aa7fea9	PR#891	politicalblogs	1046	base	-d	OO	OO		10	123	none		6.739524814	0.22	0.17	74	3	0	full 13x5 same-session refresh at the #891 merge tip
perf-refresh-891	2026-07-27T17:16:00Z	33	1	single	5d6ef7945e72470d4ae6651da85d6543	9aa7fea9	PR#891	science2001	7170	base	-d	OO	OO		10	123	none		7.834280583	9.19	9.02	12	4	0	full 13x5 same-session refresh at the #891 merge tip
perf-refresh-891	2026-07-27T17:16:00Z	33	1	single	5d6ef7945e72470d4ae6651da85d6543	9aa7fea9	PR#891	web-NotreDame	325729	base	-d	OO	OO		10	123	none		5.56604138	171.59	167.96	19	13	0	full 13x5 same-session refresh at the #891 merge tip
perf-refresh-891	2026-07-27T17:16:00Z	33	1	single	5d6ef7945e72470d4ae6651da85d6543	9aa7fea9	PR#891	lazega	69	metadata	--meta-data networks/meta/lazega.meta	OO	OO		10	123	none		6.017860269	0.05	0.01	7	2	0	full 13x5 same-session refresh at the #891 merge tip
perf-refresh-891	2026-07-27T17:16:00Z	33	1	single	5d6ef7945e72470d4ae6651da85d6543	9aa7fea9	PR#891	multilayer	5	multilayer		OO	OO		10	123	none		2.011405238	0.04	0.00	2	2	0	full 13x5 same-session refresh at the #891 merge tip
perf-refresh-891	2026-07-27T17:16:00Z	33	1	single	5d6ef7945e72470d4ae6651da85d6543	9aa7fea9	PR#891	malaria	307	multilayer		OO	OO		10	123	none		7.503378959	10.81	10.69	145	3	0	full 13x5 same-session refresh at the #891 merge tip
perf-refresh-891	2026-07-27T17:16:00Z	33	1	single	5d6ef7945e72470d4ae6651da85d6543	9aa7fea9	PR#891	air30k	13213	state-memory		OO	OO		10	123	none		5.393955343	12.72	12.56	18	4	0	full 13x5 same-session refresh at the #891 merge tip
perf-refresh-891	2026-07-27T17:16:00Z	33	1	single	5d6ef7945e72470d4ae6651da85d6543	9aa7fea9	PR#891	air30k-reg	13213	state-memory	-d --regularized	OO	OO		10	123	none		5.575652802	8.88	8.77	301	3	0	full 13x5 same-session refresh at the #891 merge tip
perf-refresh-891	2026-07-27T17:16:00Z	33	1	single	5d6ef7945e72470d4ae6651da85d6543	9aa7fea9	PR#891	science2001-pref25	7170	base-biased	-d --preferred-number-of-modules 25	OO	OO		10	123	none		7.928000301	8.63	8.52	25	4	0	full 13x5 same-session refresh at the #891 merge tip
perf-refresh-891	2026-07-27T17:16:00Z	33	1	single	5d6ef7945e72470d4ae6651da85d6543	9aa7fea9	PR#891	ninetriangles	27	base		columnar	C	5e-3	10	123	none		3.38583082	0.04	0.00	3	3	0	full 13x5 same-session refresh at the #891 merge tip
perf-refresh-891	2026-07-27T17:16:00Z	33	1	single	5d6ef7945e72470d4ae6651da85d6543	9aa7fea9	PR#891	jazz	198	base		columnar	C	5e-3	10	123	none		6.861229775	0.05	0.01	6	2	0	full 13x5 same-session refresh at the #891 merge tip
perf-refresh-891	2026-07-27T17:16:00Z	33	1	single	5d6ef7945e72470d4ae6651da85d6543	9aa7fea9	PR#891	netsci	552	base		columnar	C	5e-3	10	123	none		4.051867517	0.07	0.02	3	4	0	full 13x5 same-session refresh at the #891 merge tip
perf-refresh-891	2026-07-27T17:16:00Z	33	1	single	5d6ef7945e72470d4ae6651da85d6543	9aa7fea9	PR#891	powergrid	4941	base		columnar	C	5e-3	10	123	none		4.749076238	0.33	0.27	5	5	0	full 13x5 same-session refresh at the #891 merge tip
perf-refresh-891	2026-07-27T17:16:00Z	33	1	single	5d6ef7945e72470d4ae6651da85d6543	9aa7fea9	PR#891	politicalblogs	1046	base	-d	columnar	C	5e-3	10	123	none		6.74058207	0.11	0.07	78	2	0	full 13x5 same-session refresh at the #891 merge tip
perf-refresh-891	2026-07-27T17:16:00Z	33	1	single	5d6ef7945e72470d4ae6651da85d6543	9aa7fea9	PR#891	science2001	7170	base	-d	columnar	C	5e-3	10	123	none		7.833436601	3.33	3.22	15	3	0	full 13x5 same-session refresh at the #891 merge tip
perf-refresh-891	2026-07-27T17:16:00Z	33	1	single	5d6ef7945e72470d4ae6651da85d6543	9aa7fea9	PR#891	web-NotreDame	325729	base	-d	columnar	C	5e-3	10	123	none		5.572794236	21.36	21.07	4	6	0	full 13x5 same-session refresh at the #891 merge tip
